"stockcode","tradingdate","openprice","closeprice","highestprice","lowestprice","totalvol"
"MSN","2020-05-14","49778.66754646193250000000000","51721.24969461654450000000000","52773.48169153362600000000000","49373.96293226305500000000000","2573510"
"MSN","2020-05-15","52206.89523165519750000000000","50264.31308350058550000000000","52530.65892301429950000000000","50264.31308350058550000000000","1305890"
"MSN","2020-05-18","50264.31308350058550000000000","50588.07677485968750000000000","50830.89954337901400000000000","49697.72662362215700000000000","840070"
"MSN","2020-05-19","51235.60415757789150000000000","50992.78138905856500000000000","52125.95430881542200000000000","50588.07677485968750000000000","1923440"
"MSN","2020-05-20","50588.07677485968750000000000","51640.30877177676900000000000","51721.24969461654450000000000","50588.07677485968750000000000","998400"
"MSN","2020-05-21","51640.30877177676900000000000","51640.30877177676900000000000","51802.19061745632000000000000","50830.89954337901400000000000","1513470"
"MSN","2020-05-22","51397.48600325744250000000000","50183.37216066081000000000000","51559.36784893699350000000000","50183.37216066081000000000000","1310850"
"MSN","2020-05-25","50345.25400634036100000000000","50021.49031498125900000000000","50749.95862053923850000000000","49778.66754646193250000000000","1354620"
"MSN","2020-05-26","50183.37216066081000000000000","50588.07677485968750000000000","50830.89954337901400000000000","50102.43123782103450000000000","1053240"
"MSN","2020-05-27","51154.66323473811600000000000","50588.07677485968750000000000","52287.83615449497300000000000","50588.07677485968750000000000","2189080"
"MSN","2020-05-28","51316.54508041766700000000000","50830.89954337901400000000000","51316.54508041766700000000000","50507.13585201991200000000000","797480"
"MSN","2020-05-29","50830.89954337901400000000000","50749.95862053923850000000000","50911.84046621878950000000000","50345.25400634036100000000000","698100"
"MSN","2020-06-01","50749.95862053923850000000000","51073.72231189834050000000000","51559.36784893699350000000000","50749.95862053923850000000000","1076880"
"MSN","2020-06-02","51478.42692609721800000000000","51721.24969461654450000000000","53259.12722857227900000000000","51316.54508041766700000000000","4190080"
"MSN","2020-06-03","52206.89523165519750000000000","51802.19061745632000000000000","52206.89523165519750000000000","51478.42692609721800000000000","749700"
"MSN","2020-06-04","52287.83615449497300000000000","51397.48600325744250000000000","52287.83615449497300000000000","51235.60415757789150000000000","1528010"
"MSN","2020-06-05","50992.78138905856500000000000","50992.78138905856500000000000","51235.60415757789150000000000","50588.07677485968750000000000","1826680"
"MSN","2020-06-08","51316.54508041766700000000000","51316.54508041766700000000000","52125.95430881542200000000000","50830.89954337901400000000000","1758860"
"MSN","2020-06-09","51397.48600325744250000000000","50992.78138905856500000000000","51964.07246313587100000000000","50749.95862053923850000000000","1614250"
"MSN","2020-06-10","50911.84046621878950000000000","50911.84046621878950000000000","50992.78138905856500000000000","50588.07677485968750000000000","1210600"
"MSN","2020-06-11","51235.60415757789150000000000","47350.43986126866750000000000","51883.13154029609550000000000","47350.43986126866750000000000","2635700"
"MSN","2020-06-12","46136.32601867203500000000000","47350.43986126866750000000000","47512.32170694821850000000000","46136.32601867203500000000000","3042060"
"MSN","2020-06-15","47350.43986126866750000000000","45650.68048163338200000000000","47674.20355262776950000000000","44760.33033039585150000000000","2603230"
"MSN","2020-06-16","46460.08971003113700000000000","46621.97155571068800000000000","46783.85340139023900000000000","45731.62140447315750000000000","1492420"
"MSN","2020-06-17","46945.73524706979000000000000","46541.03063287091250000000000","47107.61709274934100000000000","46055.38509583225950000000000","1155980"
"MSN","2020-06-18","46136.32601867203500000000000","46136.32601867203500000000000","46460.08971003113700000000000","45245.97586743450450000000000","928290"
"MSN","2020-06-19","46621.97155571068800000000000","46136.32601867203500000000000","46702.91247855046350000000000","46136.32601867203500000000000","2419830"
"MSN","2020-06-22","46541.03063287091250000000000","47188.55801558911650000000000","47350.43986126866750000000000","46541.03063287091250000000000","1621780"
"MSN","2020-06-23","46945.73524706979000000000000","47269.49893842889200000000000","48159.84908966642250000000000","46945.73524706979000000000000","1453290"
"MSN","2020-06-24","47269.49893842889200000000000","46298.20786435158600000000000","47593.26262978799400000000000","45731.62140447315750000000000","935890"
"MSN","2020-06-25","45812.56232731293300000000000","45893.50325015270850000000000","46136.32601867203500000000000","45488.79863595383100000000000","1540010"
"MSN","2020-06-26","45893.50325015270850000000000","45650.68048163338200000000000","46864.79432423001450000000000","45650.68048163338200000000000","574970"
"MSN","2020-06-29","45650.68048163338200000000000","44598.44848471630050000000000","45650.68048163338200000000000","43627.15741063899450000000000","1720440"
"MSN","2020-06-30","45245.97586743450450000000000","43789.03925631854550000000000","45407.85771311405550000000000","43708.09833347877000000000000","1378930"
"MSN","2020-07-01","44031.86202483787200000000000","44922.21217607540250000000000","45407.85771311405550000000000","43708.09833347877000000000000","965870"
"MSN","2020-07-02","45326.91679027428000000000000","46298.20786435158600000000000","46621.97155571068800000000000","44922.21217607540250000000000","1094380"
"MSN","2020-07-03","46298.20786435158600000000000","46298.20786435158600000000000","46864.79432423001450000000000","45893.50325015270850000000000","699930"
"MSN","2020-07-06","46298.20786435158600000000000","46621.97155571068800000000000","46945.73524706979000000000000","46217.26694151181050000000000","855780"
"MSN","2020-07-07","46864.79432423001450000000000","46136.32601867203500000000000","47269.49893842889200000000000","46136.32601867203500000000000","959250"
"MSN","2020-07-08","46136.32601867203500000000000","46136.32601867203500000000000","46541.03063287091250000000000","46136.32601867203500000000000","467170"
"MSN","2020-07-09","46217.26694151181050000000000","46460.08971003113700000000000","46702.91247855046350000000000","46055.38509583225950000000000","1097650"
"MSN","2020-07-10","46460.08971003113700000000000","46055.38509583225950000000000","46621.97155571068800000000000","45326.91679027428000000000000","564900"
"MSN","2020-07-13","46136.32601867203500000000000","45812.56232731293300000000000","46541.03063287091250000000000","45731.62140447315750000000000","557920"
"MSN","2020-07-14","45650.68048163338200000000000","45326.91679027428000000000000","45812.56232731293300000000000","45084.09402175495350000000000","929240"
"MSN","2020-07-15","45731.62140447315750000000000","45084.09402175495350000000000","45893.50325015270850000000000","45084.09402175495350000000000","1250200"
"MSN","2020-07-16","45326.91679027428000000000000","46136.32601867203500000000000","46136.32601867203500000000000","44922.21217607540250000000000","978700"
"MSN","2020-07-17","45893.50325015270850000000000","45488.79863595383100000000000","45974.44417299248400000000000","45326.91679027428000000000000","759610"
"MSN","2020-07-20","45326.91679027428000000000000","44517.50756187652500000000000","45326.91679027428000000000000","44517.50756187652500000000000","944440"
"MSN","2020-07-21","44517.50756187652500000000000","44274.68479335719850000000000","45003.15309891517800000000000","43950.92110199809650000000000","1670960"
"MSN","2020-07-22","44274.68479335719850000000000","43869.98017915832100000000000","44679.38940755607600000000000","43869.98017915832100000000000","833760"
"MSN","2020-07-23","43869.98017915832100000000000","43627.15741063899450000000000","44193.74387051742300000000000","43384.33464211966800000000000","762030"
"MSN","2020-07-24","43465.27556495944350000000000","42089.27987668326000000000000","43627.15741063899450000000000","41117.98880260595400000000000","2045780"
"MSN","2020-07-27","39580.11126865021950000000000","40065.75680568887250000000000","41684.57526248438250000000000","39580.11126865021950000000000","2819250"
"MSN","2020-07-28","40470.46141988775000000000000","40875.16603408662750000000000","41279.87064828550500000000000","40065.75680568887250000000000","1318770"
"MSN","2020-07-29","40065.75680568887250000000000","39944.34542142920925000000000","40470.46141988775000000000000","39661.05219148999500000000000","1352670"
"MSN","2020-07-30","40389.52049704797450000000000","40308.57957420819900000000000","40551.40234272752550000000000","40065.75680568887250000000000","821650"
"MSN","2020-07-31","39741.99311432977050000000000","40875.16603408662750000000000","41603.63433964460700000000000","39741.99311432977050000000000","2195060"
"MSN","2020-08-03","40875.16603408662750000000000","42574.92541372191300000000000","42655.86633656168850000000000","40875.16603408662750000000000","1395440"
"MSN","2020-08-04","43060.57095076056600000000000","43708.09833347877000000000000","43950.92110199809650000000000","43060.57095076056600000000000","1681090"
"MSN","2020-08-05","43303.39371927989250000000000","44517.50756187652500000000000","44517.50756187652500000000000","43060.57095076056600000000000","1810780"
"MSN","2020-08-06","44112.80294767764750000000000","43627.15741063899450000000000","44436.56663903674950000000000","43465.27556495944350000000000","1178020"
"MSN","2020-08-07","43708.09833347877000000000000","43789.03925631854550000000000","44355.62571619697400000000000","43546.21648779921900000000000","959230"
