stockcode,max_date
CSTB2014,2021-06-10
CMBB2010,2021-06-10
DSS,2021-06-10
SDE,2021-06-10
TTV,2021-06-10
KTB,2021-06-15
CVNM2103,2021-06-16
CPNJ2103,2021-06-16
STV,2021-06-16
HCS,2021-06-17
PTK,2021-06-17
CFPT2016,2021-06-18
KSE,2021-06-22
THR,2021-06-24
BTR,2021-06-24
CHPG2020,2021-06-28
CMWG2013,2021-06-28
RTS,2021-06-28
RHN,2021-06-29
CCH,2021-06-30
CFPT2101,2021-07-01
CMWG2103,2021-07-01
AQN,2021-07-01
CHPG2102,2021-07-01
CHPG2104,2021-07-01
CVNM2102,2021-07-02
CVPB2101,2021-07-02
CVRE2102,2021-07-02
CHPG2103,2021-07-02
CMBB2101,2021-07-02
CMWG2101,2021-07-02
CPNJ2101,2021-07-02
CVHM2102,2021-07-02
CREE2101,2021-07-02
CTCB2102,2021-07-02
CPW,2021-07-08
DNS,2021-07-12
IKH,2021-07-13
MVY,2021-07-14
STU,2021-07-14
RTH,2021-07-19
NMK,2021-07-19
DNR,2021-07-19
NTR,2021-07-19
NBR,2021-07-19
DCI,2021-07-22
CTCB2012,2021-07-28
CVPB2015,2021-07-28
CVRE2013,2021-07-28
CMWG2102,2021-07-30
CPNJ2102,2021-07-30
TVU,2021-08-04
CVPB2103,2021-08-05
CVRE2103,2021-08-05
HBE,2021-08-09
PKR,2021-08-11
QBR,2021-08-12
CKDH2002,2021-08-12
CTCH2003,2021-08-12
YRC,2021-08-12
ATD,2021-08-19
KBE,2021-08-19
CTCB2103,2021-08-20
CVHM2104,2021-08-20
HFS,2021-08-24
EBA,2021-08-31
CVPB2104,2021-09-09
CVRE2104,2021-09-09
CVHM2105,2021-09-09
CHPG2106,2021-09-09
CVNM2104,2021-09-09
CKDH2102,2021-09-09
CMWG2105,2021-09-09
CSTB2104,2021-09-09
CSTB2103,2021-09-09
CHPG2107,2021-09-09
CMBB2102,2021-09-09
CMSN2103,2021-09-09
CTCB2104,2021-09-09
CHPG2105,2021-09-09
CVHM2106,2021-09-09
CTCH2103,2021-09-09
CTCH2102,2021-09-09
CHPG2108,2021-09-09
HTU,2021-09-14
CMSN2102,2021-09-20
CKDH2101,2021-09-20
CMSN2101,2021-09-20
CHPG2101,2021-09-20
CVHM2101,2021-09-20
CVIC2101,2021-09-20
CVRE2101,2021-09-20
CTCH2101,2021-09-20
CSBT2101,2021-09-20
CSTB2101,2021-09-20
CNVL2101,2021-09-20
CHDB2101,2021-09-20
CVNM2101,2021-09-20
CVNM2105,2021-09-23
CTCB2101,2021-10-01
CPDR2101,2021-10-05
CPDR2102,2021-10-05
CNVL2102,2021-10-05
CVIC2103,2021-10-05
IFC,2021-10-07
MHY,2021-10-20
VN30F2110,2021-10-21
CPNJ2108,2021-10-25
CFPT2106,2021-10-25
CNVL2104,2021-10-25
CPNJ2107,2021-10-25
CTCB2107,2021-10-25
CTCB2108,2021-10-25
CPDR2103,2021-10-25
CACB2101,2021-10-25
CTCB2110,2021-10-25
CTCB2109,2021-10-25
CPNJ2106,2021-10-25
CFPT2107,2021-10-25
CSTB2108,2021-10-25
GB05F2206,2021-10-25
GB05F2203,2021-10-25
CHDB2103,2021-10-25
CMWG2110,2021-10-25
CSTB2109,2021-10-25
CSTB2110,2021-10-25
CSTB2111,2021-10-25
CMBB2106,2021-10-25
GB05F2112,2021-10-25
CMWG2108,2021-10-25
CMSN2109,2021-10-25
CMSN2108,2021-10-25
CMSN2107,2021-10-25
GB10F2206,2021-10-25
GB10F2203,2021-10-25
GB10F2112,2021-10-25
MTM,2021-10-25
CMWG2109,2021-10-25
CHPG2115,2021-10-25
CVIC2106,2021-10-25
VN30F2112,2021-10-25
CVRE2111,2021-10-25
VN30F2111,2021-10-25
CVRE2110,2021-10-25
VN30F2206,2021-10-25
CVNM2111,2021-10-25
CVRE2109,2021-10-25
CKDH2105,2021-10-25
CKDH2106,2021-10-25
CHPG2112,2021-10-25
CKDH2107,2021-10-25
CVNM2110,2021-10-25
CHPG2113,2021-10-25
CVHM2112,2021-10-25
CVHM2111,2021-10-25
CVHM2110,2021-10-25
CVHM2109,2021-10-25
CVHM2108,2021-10-25
CVPB2109,2021-10-25
CVPB2108,2021-10-25
CVPB2107,2021-10-25
CVJC2103,2021-10-25
CHPG2114,2021-10-25
CMBB2105,2021-10-25
CVRE2108,2021-10-25
VN30F2203,2021-10-25
NNB,2021-11-09
DNY,2021-11-16
CFC,2021-11-22
C71,2021-11-22
CXH,2021-11-23
MHP,2021-11-25
CHDB2102,2021-11-30
CSTB2106,2021-11-30
CVPB2105,2021-11-30
CVRE2107,2021-11-30
CVJC2102,2021-11-30
CMSN2106,2021-11-30
CKDH2103,2021-11-30
SUM,2021-12-01
CVNM2108,2021-12-02
CHPG2110,2021-12-02
CFPT2104,2021-12-02
PME,2021-12-03
HKC,2021-12-15
NCP,2021-12-24
HIZ,2021-12-31
CPNJ2105,2022-01-04
CVRE2106,2022-01-04
CVJC2101,2022-01-04
CVHM2107,2022-01-04
CMSN2105,2022-01-04
CMWG2107,2022-01-04
CHPG2111,2022-01-04
CFPT2105,2022-01-04
CVIC2105,2022-01-04
CVNM2109,2022-01-04
CPNJ2104,2022-01-05
CMBB2103,2022-01-05
CVIC2104,2022-01-05
CFPT2103,2022-01-05
CMWG2106,2022-01-05
CVNM2107,2022-01-05
C36,2022-01-06
CHPG2109,2022-01-06
CFPT2102,2022-01-06
CSTB2105,2022-01-06
CVNM2106,2022-01-11
CTCB2106,2022-01-17
CSTB2107,2022-01-17
CVPB2106,2022-01-17
CNVL2103,2022-01-17
CMBB2104,2022-01-17
CKDH2104,2022-01-17
DXD,2022-01-24
DAP,2022-01-27
I10,2022-01-27
MCT,2022-01-27
CAM,2022-01-27
KSK,2022-02-18
FUCTVGF2,2022-02-25
GTN,2022-03-07
CMWG2104,2022-03-18
T12,2022-04-01
HNE,2022-04-01
HGR,2022-04-01
HGC,2022-04-01
NNQ,2022-04-01
HGA,2022-04-01
HAW,2022-04-01
IPH,2022-04-01
HAB,2022-04-01
GTK,2022-04-01
MXC,2022-04-01
CT5,2022-04-01
TS5,2022-04-01
DX2,2022-04-01
GQN,2022-04-01
DKH,2022-04-01
HUX,2022-04-01
BLU,2022-04-01
DNB,2022-04-01
HTK,2022-04-01
BPW,2022-04-01
VHI,2022-04-01
BUD,2022-04-01
BXT,2022-04-01
PDT,2022-04-01
SON,2022-04-08
SVL,2022-04-08
VIS,2022-04-21
CVRE2105,2022-04-28
CMSN2104,2022-04-28
CTCB2105,2022-04-28
PYU,2022-05-18
TAC,2022-05-19
VDM,2022-05-26
MEG,2022-06-16
EAD,2022-06-20
NS3,2022-06-28
HLE,2022-06-29
DAR,2022-07-04
DBH,2022-07-07
HNT,2022-07-07
DT4,2022-07-07
TEC,2022-07-08
MC3,2022-07-11
FDG,2022-07-11
CGL,2022-07-14
CEE,2022-07-21
SDH,2022-07-22
SSU,2022-08-11
TAP,2022-08-11
SPA,2022-08-18
QLD,2022-08-22
KHB,2022-08-30
SCA,2022-08-30
ROS,2022-08-31
VKD,2022-09-12
VMI,2022-09-16
HTH,2022-11-01
VSP,2022-11-16
IBN,2022-12-13
LYF,2022-12-13
SCV,2022-12-13
DBW,2022-12-26
QLT,2022-12-26
GE2,2022-12-28
TAG,2023-02-02
pDOTn-USD,2023-02-11
DPD,2023-02-22
SPP,2023-03-24
VAT,2023-04-05
GTH,2023-04-05
BHT,2023-04-27
AUM,2023-05-23
LWS,2023-06-01
LCW,2023-06-05
HKP,2023-06-13
KHA,2023-06-14
LUT,2023-06-20
THI,2023-06-28
CVP,2023-07-04
HTW,2023-07-05
HLG,2023-07-12
EMC,2023-07-13
SIC,2023-07-20
NNG,2023-07-24
HTR,2023-08-03
MCI,2023-08-14
TDI,2023-08-15
BKH,2023-08-24
TVW,2023-09-12
AGE,2023-09-21
^000001,2023-10-13
"THM
",2023-10-18
TVP,2023-10-24
CSTB2304,2023-10-26
CHDB2301,2023-10-26
CPOW2301,2023-10-26
CMSN2301,2023-10-26
CPDR2301,2023-10-26
CNVL2301,2023-10-26
CVHM2301,2023-10-26
CVRE2302,2023-10-26
CVIC2301,2023-10-26
CHPG2308,2023-10-26
CVNM2301,2023-10-26
CTCB2216,2023-10-30
CMBB2215,2023-10-30
CSTB2225,2023-10-30
CVRE2221,2023-10-30
CHPG2227,2023-10-30
CMWG2215,2023-10-30
CVHM2220,2023-10-30
CFPT2214,2023-10-30
SHX,2023-11-02
CSTB2303,2023-11-07
CFPT2303,2023-11-07
CHPG2306,2023-11-07
CMWG2302,2023-11-07
SGO,2023-11-09
^KOSDAQ,2023-11-14
^IDX,2023-11-14
^S501!,2023-11-15
^SETI,2023-11-15
CPOW2302,2023-11-21
CVIC2302,2023-11-21
CHDB2302,2023-11-21
CPDR2302,2023-11-21
CNVL2302,2023-11-21
CSTB2311,2023-11-28
CHPG2311,2023-11-29
CMSN2304,2023-11-29
CVNM2303,2023-11-29
CVRE2305,2023-11-29
CSTB2308,2023-11-29
CVHM2304,2023-11-29
CACB2302,2023-11-30
CTCB2303,2023-11-30
CSTB2320,2023-11-30
CVIB2303,2023-11-30
CVRE2309,2023-11-30
CVIC2307,2023-11-30
CVPB2307,2023-11-30
CVHM2308,2023-11-30
CMWG2306,2023-11-30
CVNM2307,2023-11-30
CMSN2308,2023-11-30
CFPT2306,2023-11-30
CMBB2307,2023-11-30
CHPG2323,2023-11-30
MCD,2023-12-04
PTN,2023-12-06
CHPG2320,2023-12-14
CPOW2307,2023-12-14
CSTB2317,2023-12-14
CFPT2304,2023-12-14
CVPB2306,2023-12-14
CPOW2303,2023-12-21
CHDB2303,2023-12-21
CVIC2303,2023-12-21
CPDR2304,2023-12-22
CNVL2304,2023-12-22
BUSD-USD,2023-12-27
CHPG2312,2023-12-28
XDC,2023-12-28
CMWG2304,2023-12-28
CVPB2304,2023-12-28
^FTSE,2023-12-28
CTPB2303,2023-12-28
CMBB2305,2023-12-28
CSTB2305,2023-12-28
CHPG2307,2023-12-28
CSTB2309,2023-12-28
