signal_date,fill_date,ticker,detector,fill_price,window_id,days_since_buy
2023-11-29,2023-11-30,PLX,C,33148.84058462477,21,11
2024-03-06,2024-03-07,PLX,C,33986.87307131472,22,2
2024-05-23,2024-05-24,PLX,C,39863.7837837838,23,6
2024-07-04,2024-07-05,PLX,C,42476.216216216235,24,17
2025-06-04,2025-06-05,PLX,C,35267.837837837855,27,12
2017-05-24,2017-05-25,PNJ,A,30471.1682819915,7,3
2021-04-02,2021-04-05,PNJ,A,59881.38723977999,15,12
2021-05-20,2021-05-21,PNJ,A,66985.95860721152,16,2
2024-03-05,2024-03-06,PNJ,A,91853.40868903395,22,1
2014-06-17,2014-06-18,PNJ,C,6430.652026292304,2,2
2016-09-27,2016-09-28,PNJ,C,23445.08551252406,5,1
2017-04-13,2017-04-14,PNJ,C,24370.70966782364,6,17
2017-05-24,2017-05-25,PNJ,C,30471.1682819915,7,3
2017-09-01,2017-09-05,PNJ,C,33614.77195561882,8,1
2018-03-19,2018-03-20,PNJ,C,57274.34786085482,9,1
2019-07-22,2019-07-23,PNJ,C,49496.533778128694,10,13
2020-08-24,2020-08-25,PNJ,C,39122.506329989636,12,1
2020-11-23,2020-11-24,PNJ,C,51058.18622727461,13,3
2021-04-02,2021-04-05,PNJ,C,59881.38723977999,15,12
2021-05-20,2021-05-21,PNJ,C,66985.95860721152,16,2
2021-09-30,2021-10-01,PNJ,C,65632.70691817693,17,11
2022-12-30,2023-01-03,PNJ,C,84161.60792316578,19,20
2023-11-17,2023-11-20,PNJ,C,74583.44961733543,21,3
2024-03-05,2024-03-06,PNJ,C,91853.40868903395,22,1
2024-05-17,2024-05-20,PNJ,C,95171.14884595554,23,2
2024-06-20,2024-06-21,PNJ,C,94025.65858903331,24,7
2024-10-02,2024-10-03,PNJ,C,94898.55365594917,25,6
2025-06-02,2025-06-03,PNJ,C,75995.3596287703,27,10
2021-12-07,2021-12-08,POW,A,12764.896551724136,18,9
2024-06-11,2024-06-12,POW,A,11690.827586206895,23,19
2024-06-18,2024-06-19,POW,A,12475.724137931033,24,5
2020-04-20,2020-04-21,POW,C,7220.669033352179,11,2
2020-08-26,2020-08-27,POW,C,7961.654720180896,12,3
2020-11-19,2020-11-20,POW,C,8045.358959864328,13,1
2021-03-05,2021-03-08,POW,C,11661.707179197283,14,4
2021-04-12,2021-04-13,POW,C,11621.074053137363,15,18
2021-06-03,2021-06-04,POW,C,10564.61277557942,16,12
2021-09-29,2021-09-30,POW,C,10079.724137931033,17,10
2021-12-07,2021-12-08,POW,C,12764.896551724136,18,9
2022-12-23,2022-12-26,POW,C,9129.58620689655,19,15
2023-03-15,2023-03-16,POW,C,11071.172413793101,20,1
2023-12-08,2023-12-11,POW,C,9666.62068965517,21,18
2024-05-20,2024-05-21,POW,C,9418.758620689654,23,3
2024-06-18,2024-06-19,POW,C,12475.724137931033,24,5
2025-03-14,2025-03-17,POW,C,9997.10344827586,26,6
2025-05-20,2025-05-21,POW,C,10781.999999999998,27,1
2024-05-16,2024-05-17,PPC,A,14222.094109514943,23,1
2024-06-26,2024-06-27,PPC,A,15110.974991359628,24,11
2014-07-10,2014-07-11,PPC,C,5755.639679272038,2,19
2015-10-13,2015-10-14,PPC,C,5870.497233847317,4,4
2017-03-27,2017-03-28,PPC,C,6394.408886295961,6,5
2017-05-22,2017-05-23,PPC,C,7898.9756830714805,7,1
2018-04-06,2018-04-09,PPC,C,8674.767937658817,9,15
2020-04-24,2020-04-27,PPC,C,14634.262984261832,11,6
2020-08-24,2020-08-25,PPC,C,13324.148012337439,12,1
2020-11-26,2020-11-27,PPC,C,13017.525359333858,13,6
2021-04-02,2021-04-05,PPC,C,15722.723026304122,15,12
2021-09-21,2021-09-22,PPC,C,16327.362595057406,17,4
2021-12-09,2021-12-10,PPC,C,16610.70077458118,18,11
