rs_formula,rs_threshold,n_within_high,hard_stop,slots,entry_option,CAGR,Sharpe_rf3,MaxDD,MaxDD_duration_days,hit_rate,turnover,total_cost_drag_pct,num_trades,avg_hold_days,sanity,error
roc126,60.0,0.15,0.06,5,C,0.0008002685122223685,-0.23700722582234082,-0.1695538923969601,229.0,0.41509433962264153,6.637732482606015,6.764003810727733,53.0,28.62264150943396,OK,
roc126,60.0,0.15,0.06,8,A,0.0768351789118642,0.3394209386870846,-0.10985207643113333,187.0,0.4186046511627907,5.26201819541072,5.7391529155219345,43.0,40.74418604651163,OK,
roc126,60.0,0.15,0.06,8,C,0.12449174699642684,0.5012719260066215,-0.18525753334907802,187.0,0.43333333333333335,7.76549402631819,9.126643923883181,60.0,36.3,OK,
roc126,60.0,0.2,0.06,5,A,0.09402381926635095,0.6150201782668157,-0.08258353362385015,186.0,0.5,3.6683268376383396,4.103716634329597,30.0,46.43333333333333,OK,
roc126,60.0,0.2,0.06,5,C,0.018317166499065785,-0.09230144132632873,-0.17891489228812127,229.0,0.42857142857142855,7.009071283887402,7.185648211309906,56.0,29.857142857142858,OK,
roc126,60.0,0.2,0.06,8,A,0.0848606321956642,0.38314558353393335,-0.12324265306406368,185.0,0.4146341463414634,4.956485159274359,5.4542793246595815,41.0,44.829268292682926,OK,
roc126,60.0,0.2,0.06,8,C,0.13073366965408706,0.5327283314966432,-0.1812200669453983,187.0,0.46153846153846156,8.524986656883318,10.077580376384025,65.0,36.07692307692308,OK,
roc126,60.0,0.15,0.07,5,A,0.09340313430515668,0.6065467574479388,-0.08529783464697456,186.0,0.5,3.672784044824843,4.108506325477519,30.0,47.03333333333333,OK,
roc126,60.0,0.15,0.07,5,C,-0.003417592295894334,-0.2756508611513324,-0.17219810630616608,229.0,0.36,6.253005120411455,6.349045655036629,50.0,29.34,OK,
roc126,60.0,0.15,0.07,8,A,0.08861642442432616,0.4078846727549997,-0.1261124890664848,185.0,0.425,4.841585919604042,5.363911905611807,40.0,46.5,OK,
roc126,60.0,0.15,0.07,8,C,0.12038648397885288,0.48292785755393713,-0.1939616985257207,186.0,0.43103448275862066,7.479586103302053,8.765873655479508,58.0,37.44827586206897,OK,
roc126,60.0,0.2,0.08,5,A,0.10178336765889107,0.6741891269226381,-0.0852704040857295,186.0,0.5714285714285714,3.447799410876295,3.912212678432126,28.0,50.607142857142854,OK,
roc126,60.0,0.2,0.08,5,C,0.03902644264931632,0.059534712914596104,-0.14378966466463056,186.0,0.40816326530612246,6.161548746683755,6.398161334896384,49.0,35.16326530612245,OK,
roc126,60.0,0.2,0.08,8,A,0.08513933421846986,0.39230678232100463,-0.10998017994985182,187.0,0.45,4.899573440161857,5.425471124187677,40.0,45.0,OK,
roc126,60.0,0.2,0.08,8,C,0.15240859634963067,0.5753972700950228,-0.17229771627057952,186.0,0.5,7.836890817963729,9.432502004047558,60.0,40.56666666666667,OK,
roc126,60.0,0.15,0.08,5,A,0.10178336765889107,0.6741891269226381,-0.0852704040857295,186.0,0.5714285714285714,3.447799410876295,3.912212678432126,28.0,50.607142857142854,OK,
roc126,60.0,0.15,0.08,5,C,0.010330819300832905,-0.1342383654684408,-0.15983916378834565,186.0,0.375,6.032498277998447,6.205582768129172,48.0,32.4375,OK,
roc126,60.0,0.15,0.08,8,A,0.08513933421846986,0.39230678232100463,-0.10998017994985182,187.0,0.45,4.899573440161857,5.425471124187677,40.0,45.0,OK,
roc126,60.0,0.15,0.08,8,C,0.1373787863862166,0.5063397884735238,-0.1851411901423756,186.0,0.43636363636363634,7.0479632899075755,8.406826631559822,55.0,41.38181818181818,OK,
