date,ticker,shares,mark_price,mark_value
2017-09-19,MWG,4600,26184.37790385698,120448138.35774212
2017-09-19,PDR,15600,7830.6148664715965,122157591.9169569
2017-09-19,PTB,3200,38847.82299783543,124313033.59307337
2017-09-20,VIC,6500,18075.556685077005,117491118.45300053
2017-09-20,HPG,17800,7170.344354252558,127632129.50569554
2017-09-20,MSN,2900,43546.21648779922,126284027.81461774
2017-09-20,VGC,8800,14974.264511280036,131773527.69926432
2017-09-20,GEX,13600,9879.38006327013,134359568.86047375
2017-09-20,MWG,4600,26253.465972204885,120765943.47214247
2017-09-20,PDR,15600,7830.6148664715965,122157591.9169569
2017-09-20,PTB,3200,38956.86951853111,124661982.45929955
2017-09-21,VIC,6500,18112.44557627104,117730896.24576175
2017-09-21,HPG,17800,7094.667896687887,126285088.5610444
2017-09-21,MSN,2900,41441.752493965054,120181082.23249866
2017-09-21,VGC,8800,14836.885937782055,130564596.25248209
2017-09-21,GEX,13600,10054.236347575796,136737614.3270308
2017-09-21,MWG,4600,26276.495328320856,120871878.51027595
2017-09-21,PDR,15600,8222.145609795176,128265471.51280475
2017-09-21,PTB,3200,39474.84049183558,126319489.57387386
2017-09-22,VIC,6500,18112.44557627104,117730896.24576175
2017-09-22,HPG,17800,7132.506125470222,126958609.03336996
2017-09-22,MSN,2900,42089.27987668326,122058911.64238144
2017-09-22,VGC,8800,15592.468092020956,137213719.20978442
2017-09-22,GEX,13600,10229.092631881462,139115659.7935879
2017-09-22,MWG,4600,26921.317299567992,123838059.57801276
2017-09-22,PDR,15600,8222.145609795176,128265471.51280475
2017-09-22,PTB,3200,38711.51484696583,123876847.51029065
2017-09-25,VIC,6500,18075.556685077005,117491118.45300053
2017-09-25,HPG,17800,7094.667896687887,126285088.5610444
2017-09-25,MSN,2900,44112.80294767764,127927128.54826516
2017-09-25,VGC,8800,15386.400231773983,135400322.03961104
2017-09-25,GEX,13600,9923.094134346546,134954080.227113
2017-09-25,MWG,4600,27174.640216843654,125003344.99748081
2017-09-25,PDR,15600,8114.137128878327,126580539.2105019
2017-09-25,PTB,3200,38711.51484696583,123876847.51029065
2017-09-26,VIC,6500,18223.112249853144,118450229.62404543
2017-09-26,HPG,17800,7075.74878229672,125948328.32488161
2017-09-26,MSN,2900,45245.97586743451,131213330.01556008
2017-09-26,VGC,8800,15592.468092020956,137213719.20978442
2017-09-26,GEX,13600,9791.951921117296,133170546.12719522
2017-09-26,MWG,4600,26967.376011799934,124049929.6542797
2017-09-26,PDR,15600,8289.650910368207,129318554.20174403
2017-09-26,PTB,3200,37893.665941748244,121259731.01359439
2017-09-27,VIC,6500,18850.22340015173,122526452.10098626
2017-09-27,HPG,17800,7132.506125470222,126958609.03336996
2017-09-27,MSN,2900,44436.56663903675,128866043.25320657
2017-09-27,VGC,8800,15523.778805271964,136609253.48639327
2017-09-27,GEX,13600,9617.09563681163,130792500.66063815
2017-09-27,MWG,4600,26483.75953336458,121825293.85347708
2017-09-27,PDR,15600,8330.154090712025,129950403.8151076
2017-09-27,PTB,3200,37893.665941748244,121259731.01359439
2017-09-28,VIC,6500,18739.556726569626,121807118.72270258
2017-09-28,HPG,17800,7141.9656826658065,127126989.15145135
2017-09-28,MSN,2900,45084.09402175495,130743872.66308935
2017-09-28,VGC,8800,15042.953798029028,132377993.42265545
2017-09-28,GEX,13600,9573.381565735213,130197989.2939989
2017-09-28,MWG,4600,26552.847601712485,122143098.96787743
2017-09-28,PDR,15600,8208.64454968057,128054854.97501689
2017-09-28,PTB,3200,38166.28224348744,122132103.1791598
2017-09-29,VIC,6500,18887.112291345766,122766229.89374748
2017-09-29,HPG,17800,7359.535498164235,130999731.86732338
2017-09-29,MSN,2900,44598.4484847163,129335500.60567726
2017-09-29,VGC,8800,15661.157378769947,137818184.93317553
2017-09-29,GEX,13600,9529.667494658797,129603477.92735964
2017-09-29,MWG,4600,26783.14116287218,123202449.34921202
2017-09-29,PDR,15600,8235.646669909782,128476088.0505926
2017-09-29,PTB,3200,38357.11365470487,122742763.69505559
2017-10-02,VIC,6500,18813.334508957698,122286674.30822504
2017-10-02,HPG,17800,7387.914169750987,131504872.22156757
2017-10-02,MSN,2900,44760.33033039585,129804957.95814797
2017-10-02,VGC,8800,15798.53595226793,139027116.3799578
2017-10-02,GEX,13600,9879.38006327013,134359568.86047375
2017-10-02,MWG,4600,27013.43472403187,124261799.73054661
2017-10-02,PDR,15600,8222.145609795176,128265471.51280475
2017-10-02,PTB,3200,38384.37528487879,122830000.91161214
2017-10-03,VIC,6500,18850.22340015173,122526452.10098626
2017-10-03,HPG,17800,7340.616383773067,130662971.6311606
2017-10-03,MSN,2900,44436.56663903675,128866043.25320657
2017-10-03,VGC,8800,15386.400231773983,135400322.03961104
2017-10-03,GEX,13600,9966.808205422962,135548591.59375226
