ticker,buy_date,buy_price,buy_cost_vnd,sell_date,sell_price,sell_cost_vnd,pnl_vnd,pnl_pct,exit_reason
SJS,2017-04-14,9142.539130434774,118351540.4243477,2017-04-21,8679.234782608688,503829.57913042605,-6893241.307826057,-0.05067567567567563,mdm_sell
PNJ,2017-05-25,30471.1682819915,113137924.27262032,2017-07-11,29786.422927340005,495943.9417401999,-3424103.383202508,-0.02247191011235958,ma50_break
HCM,2017-05-24,6099.27156585892,115067637.50718121,2017-07-18,6076.765028715529,514094.32142932713,-1338549.2887585908,-0.0036900369003690517,ma50_break
BID,2017-05-23,9718.503168941968,115079711.57439251,2017-07-21,10405.136545008521,552512.7505399436,7148386.906168103,0.07065217391304357,mdm_sell
MBB,2017-05-23,3738.383423492256,115545207.17661393,2017-07-21,4319.909733813274,598739.4891065061,16909273.13572842,0.1555555555555557,mdm_sell
MWG,2017-05-24,21877.88831017074,114163196.78013293,2017-07-21,23144.502896549046,541581.36777924,5646636.914142862,0.057894736842105256,mdm_sell
NKG,2017-05-24,11185.721931306321,114493693.9722721,2017-07-21,11611.844671546562,532983.6704239845,3414138.0070788413,0.03809523809523803,mdm_sell
CTS,2017-05-25,4104.781906026949,114924247.13127539,2017-07-21,4769.908603762798,598862.0252024084,17557340.888504267,0.162037037037037,mdm_sell
PHR,2017-05-25,11597.04057804029,115212539.17862795,2017-07-21,12541.305542102098,558715.1619006395,8387670.526282176,0.08142292490118826,mdm_sell
PTB,2017-09-14,38302.59039435704,122997278.2743593,2017-10-20,35985.35182957387,518189.0663458556,-8362341.48606877,-0.06049822064056947,ma50_break
HPG,2017-09-07,6829.800295211539,121995941.81315705,2017-11-02,6754.123837646868,541005.3193955123,-2313542.8224383146,-0.011080332409972356,ma50_break
GEX,2017-09-12,8961.384570665383,122301392.06661284,2017-11-06,9397.700487635642,575139.2698432952,4932195.295388594,0.048688449148641205,ma50_break
MWG,2017-09-14,26483.75953336458,122251682.38196422,2017-12-22,29730.898745716237,615429.6040363312,13895022.244294122,0.12260869565217387,ma50_break
VGC,2017-09-08,13737.8573497982,121316270.68459792,2018-01-18,17172.32168724775,680023.9388149977,29120136.224367276,0.25,ma50_break
PPC,2018-01-02,9690.350525482287,146836427.96005425,2018-01-26,8844.03170229606,600951.9541710168,-13892501.209554747,-0.08733624454148471,hard_stop
HPG,2018-01-22,11256.87306274478,155888555.2348085,2018-02-07,11446.064206656458,710800.5872333646,1356330.2298172414,0.016806722689075678,hard_stop
DPM,2018-01-26,7519.2741944134295,126011380.62336771,2018-02-07,7153.965326668648,537620.4942991436,-7077780.162300423,-0.048582995951416914,hard_stop
VIC,2017-09-06,18518.22337940542,120789741.54801668,2018-02-12,29142.224043287413,852410.0532661378,67782304.68008538,0.5737051792828686,mdm_sell
MSN,2017-09-08,40875.16603408663,118952864.43409719,2018-02-12,67990.37518541142,887274.3961696029,77331949.20742635,0.6633663366336634,mdm_sell
PDR,2017-09-14,7884.619106930021,123430558.27134669,2018-02-12,9383.23677965131,658703.2219315171,22289232.26928222,0.190068493150685,mdm_sell
DXG,2018-01-02,10398.931618759794,146094590.31195632,2018-02-12,13660.41471737082,860606.127194345,44290609.60404083,0.31363636363636366,mdm_sell
BID,2018-01-03,14725.874662296885,146296410.71378773,2018-02-12,17998.291253918414,801823.8753620684,31084848.82464251,0.2222222222222222,mdm_sell
