c_yoy,a_cagr,n_proximity,hard_stop,slots,entry_option,CAGR,Sharpe_rf3,MaxDD,MaxDD_duration_days,hit_rate,turnover,total_cost_drag_pct,num_trades,avg_hold_days,sanity_flag,error
0.1,0.1,0.2,0.1,10,C,0.021562205954453573,-0.04530309235670429,-0.23094067312997277,383,0.4146341463414634,10.34107055658549,10.426565878245416,82,30.573170731707318,OK,
0.1,0.15,0.05,0.1,8,A,0.01270916400752875,-0.12849305421889556,-0.1686042383037451,363,0.5142857142857142,4.3397630098921125,4.423456632847872,35,40.285714285714285,OK,
0.1,0.15,0.05,0.1,8,C,0.002795587885891848,-0.1847125376823104,-0.1827579316666297,363,0.4375,5.829762633523096,5.7794533982399585,48,34.729166666666664,OK,
0.1,0.15,0.05,0.1,10,A,0.01270916400752875,-0.12849305421889556,-0.1686042383037451,363,0.5142857142857142,4.3397630098921125,4.423456632847872,35,40.285714285714285,OK,
0.1,0.15,0.05,0.1,10,C,0.002795587885891848,-0.1847125376823104,-0.1827579316666297,363,0.4375,5.829762633523096,5.7794533982399585,48,34.729166666666664,OK,
0.1,0.15,0.1,0.06,10,A,0.01867806673361061,-0.08488285607302945,-0.16886795319748293,363,0.5142857142857142,4.3569905875621275,4.481678180989047,35,38.25714285714286,OK,
0.1,0.15,0.1,0.06,10,C,0.02100976680208122,-0.05766116516398258,-0.1974717218247632,378,0.41935483870967744,7.79722690090195,8.035560149934174,62,31.096774193548388,OK,
0.1,0.15,0.1,0.07,5,A,0.019727964515216856,-0.08403117846079718,-0.1589738068196258,363,0.5172413793103449,3.581032602077159,3.686134431433357,29,42.62068965517241,OK,
0.1,0.15,0.1,0.07,5,C,0.01648800536048567,-0.10402338160630348,-0.1638342931439313,378,0.4222222222222222,5.71357536236077,5.88010462122412,45,32.53333333333333,OK,
0.1,0.15,0.1,0.07,8,A,0.01765656759665757,-0.09273057414245454,-0.16816745417213613,363,0.5142857142857142,4.346149281746644,4.461083710814886,35,39.628571428571426,OK,
0.1,0.15,0.1,0.07,8,C,0.018600216853346563,-0.07295827154275197,-0.1970022353716263,378,0.4262295081967213,7.6663758959622665,7.872199362692093,61,32.0,OK,
0.1,0.15,0.1,0.07,10,A,0.01765656759665757,-0.09273057414245454,-0.16816745417213613,363,0.5142857142857142,4.346149281746644,4.461083710814886,35,39.628571428571426,OK,
0.1,0.15,0.1,0.07,10,C,0.018600216853346563,-0.07295827154275197,-0.1970022353716263,378,0.4262295081967213,7.6663758959622665,7.872199362692093,61,32.0,OK,
0.1,0.15,0.1,0.08,10,A,0.017565592408335773,-0.09335829058868401,-0.16816745417213613,363,0.5142857142857142,4.346400464829297,4.461081507542358,35,39.714285714285715,OK,
0.1,0.15,0.1,0.08,10,C,0.02081704004610785,-0.05024939775371365,-0.23060842159513506,378,0.45,7.528974871331067,7.746198801093384,60,33.18333333333333,OK,
0.1,0.15,0.1,0.1,5,A,0.014561787967842577,-0.1254679142433602,-0.15868648398442634,363,0.5172413793103449,3.5701702876849652,3.6483137507461336,29,43.41379310344828,OK,
0.1,0.15,0.1,0.1,5,C,0.019517725447116607,-0.06677334730376616,-0.19844568737586504,378,0.46511627906976744,5.419484737786031,5.572554607294206,43,34.93023255813954,OK,
0.1,0.15,0.1,0.1,8,A,0.01270916400752875,-0.12849305421889556,-0.1686042383037451,363,0.5142857142857142,4.3397630098921125,4.423456632847872,35,40.285714285714285,OK,
0.1,0.15,0.1,0.1,8,C,0.012706615086970352,-0.09420019240116187,-0.23050362164652285,378,0.43333333333333335,7.476241019179331,7.5761982373715,60,33.61666666666667,OK,
0.1,0.15,0.1,0.1,10,A,0.01270916400752875,-0.12849305421889556,-0.1686042383037451,363,0.5142857142857142,4.3397630098921125,4.423456632847872,35,40.285714285714285,OK,
0.1,0.15,0.1,0.1,10,C,0.012706615086970352,-0.09420019240116187,-0.23050362164652285,378,0.43333333333333335,7.476241019179331,7.5761982373715,60,33.61666666666667,OK,
0.1,0.15,0.1,0.06,5,A,0.020795047202875283,-0.07528707197561568,-0.15880914980127858,363,0.5333333333333333,3.7096603651408864,3.827578017219158,30,40.833333333333336,OK,
0.1,0.15,0.1,0.06,5,C,0.020121733076880588,-0.07629955731910258,-0.16311423446440837,378,0.44680851063829785,5.991420570280087,6.199334215435768,47,31.319148936170212,OK,
0.1,0.15,0.1,0.06,8,A,0.01867806673361061,-0.08488285607302945,-0.16886795319748293,363,0.5142857142857142,4.3569905875621275,4.481678180989047,35,38.25714285714286,OK,
0.1,0.15,0.1,0.06,8,C,0.02100976680208122,-0.05766116516398258,-0.1974717218247632,378,0.41935483870967744,7.79722690090195,8.035560149934174,62,31.096774193548388,OK,
0.1,0.15,0.15,0.07,8,A,0.01765656759665757,-0.09273057414245454,-0.16816745417213613,363,0.5142857142857142,4.346149281746644,4.461083710814886,35,39.628571428571426,OK,
0.1,0.15,0.15,0.07,8,C,0.011385718487448626,-0.11851277466577767,-0.19761570466508496,392,0.38571428571428573,8.870007395843444,9.077127816100656,70,30.32857142857143,OK,
0.1,0.15,0.15,0.07,10,A,0.01765656759665757,-0.09273057414245454,-0.16816745417213613,363,0.5142857142857142,4.346149281746644,4.461083710814886,35,39.628571428571426,OK,
0.1,0.15,0.15,0.07,10,C,0.011385718487448626,-0.11851277466577767,-0.19761570466508496,392,0.38571428571428573,8.870007395843444,9.077127816100656,70,30.32857142857143,OK,
0.1,0.15,0.15,0.08,5,A,0.019637725812621687,-0.08471059497058923,-0.1589738068196258,363,0.5172413793103449,3.581238988527826,3.686132228160829,29,42.724137931034484,OK,
0.1,0.15,0.15,0.08,5,C,0.011343020714504215,-0.11903156957094674,-0.19790189615857298,392,0.40384615384615385,6.5874028868375305,6.740449616022525,52,31.115384615384617,OK,
0.1,0.15,0.15,0.08,8,A,0.017565592408335773,-0.09335829058868401,-0.16816745417213613,363,0.5142857142857142,4.346400464829297,4.461081507542358,35,39.714285714285715,OK,
0.1,0.15,0.15,0.08,8,C,0.013019192133855606,-0.09275586631643813,-0.23062997360937276,392,0.4057971014492754,8.725599944795036,8.935887303317935,69,31.318840579710145,OK,
0.1,0.15,0.15,0.06,5,A,0.020795047202875283,-0.07528707197561568,-0.15880914980127858,363,0.5333333333333333,3.7096603651408864,3.827578017219158,30,40.833333333333336,OK,
0.1,0.15,0.15,0.06,5,C,0.012275593496161141,-0.1365020418834267,-0.1634051042645156,392,0.38181818181818183,7.001122955379106,7.184346234513352,55,28.545454545454547,OK,
0.1,0.15,0.15,0.06,8,A,0.01867806673361061,-0.08488285607302945,-0.16886795319748293,363,0.5142857142857142,4.3569905875621275,4.481678180989047,35,38.25714285714286,OK,
0.1,0.15,0.15,0.06,8,C,0.014675783523538932,-0.0980348780067223,-0.19718390567525607,392,0.3888888888888889,9.168984930650764,9.445130828523075,72,28.76388888888889,OK,
