date,ticker,shares,mark_price,mark_value
2021-07-08,PDR,4500,58115.926947873224,261521671.2654295
2021-07-08,DGC,7300,32382.09139825181,236389267.20723823
2021-07-09,PDR,4500,57931.82158267405,260693197.1220332
2021-07-09,DGC,7300,34088.45310067466,248845707.63492504
2021-07-12,PDR,4500,55783.92565535033,251027665.44907647
2021-07-12,DGC,7300,31877.939077081424,232708955.2626944
2021-07-13,PDR,4500,53390.555907761045,240257501.5849247
2021-07-13,DGC,7300,31412.567703693374,229311744.23696163
2021-09-07,DGW,4300,37771.08299187376,162415656.86505717
2021-09-07,SBT,8800,17102.435051682194,150501428.45480332
2021-09-08,DGW,4300,37852.48618797693,162765690.6083008
2021-09-08,SBT,8800,16754.98151790084,147443837.3575274
2021-09-09,DGW,4300,38951.42933536981,167491146.14209017
2021-09-09,SBT,8800,17256.858844473907,151860357.83137038
2021-09-09,HPG,5400,29754.60717883645,160674878.76571682
2021-09-09,HSG,4700,34380.33745793109,161587586.05227613
2021-09-10,DGW,4300,41515.63001261986,178517209.0542654
2021-09-10,SBT,8800,16909.405310692553,148802766.73409447
2021-09-10,HPG,5400,29525.28458015563,159436536.7328404
2021-09-10,HSG,4700,34380.33745793109,161587586.05227613
2021-09-10,SJS,6500,23975.999999999993,155843999.99999994
2021-09-13,DGW,4300,44405.44347428262,190943406.93941528
2021-09-13,HPG,5400,29123.970032464193,157269438.17530665
2021-09-13,HSG,4700,33538.05747566552,157628870.13562793
2021-09-13,SJS,6500,23551.30434782608,153083478.26086953
2021-09-14,DGW,4300,47498.764926203316,204244689.18267426
2021-09-14,HPG,5400,28837.316784113165,155721510.6342111
2021-09-14,HSG,4700,33499.772021926176,157448928.50305304
2021-09-14,SJS,6500,23744.34782608695,154338260.86956516
2021-09-15,DGW,4300,47824.37771061602,205644824.1556489
2021-09-15,HPG,5400,29582.61522982583,159746122.24105948
2021-09-15,HSG,4700,35796.89924628683,168245426.45754808
2021-09-15,SJS,6500,23937.39130434782,155593043.47826084
2021-09-16,DGW,4300,44649.653062592144,191993508.1691462
2021-09-16,HPG,5400,29410.623280815216,158817365.71640217
2021-09-16,HSG,4700,35988.32651498355,169145134.6204227
2021-09-16,SJS,6500,23628.52173913043,153585391.30434778
2021-09-16,NKG,5800,27353.32001689191,158649256.09797308
2021-09-17,DGW,4300,46806.837759326314,201269402.36510316
2021-09-17,HPG,5400,29697.276529166244,160365293.25749773
2021-09-17,HSG,4700,35988.32651498355,169145134.6204227
2021-09-17,SJS,6500,23165.21739130434,150573913.04347822
2021-09-17,NKG,5800,28261.964095345364,163919391.75300312
2021-09-20,DGW,4300,47620.869720358074,204769739.7975397
2021-09-20,HPG,5400,29410.623280815216,158817365.71640217
2021-09-20,HSG,4700,34456.90836540978,161947469.31742597
2021-09-20,NKG,5800,27290.65490803305,158285798.4665917
2021-09-21,DGW,4300,47702.272916461254,205119773.5407834
2021-09-21,HPG,5400,29123.970032464193,157269438.17530665
2021-09-21,HSG,4700,35758.61379254748,168065484.82497317
2021-09-21,NKG,5800,28512.6245307808,165373222.27852863
2021-09-21,CTR,2700,59741.59231173547,161302299.24168578
2021-09-22,DGW,4300,48027.88570087396,206519908.51375803
2021-09-22,HPG,5400,29181.3006821344,157579023.68352574
2021-09-22,HSG,4700,35682.0428850688,167705601.55982333
2021-09-22,NKG,5800,28700.619857357375,166463595.17267278
2021-09-22,CTR,2700,60111.73848467063,162301693.9086107
2021-09-23,DGW,4300,47417.361730100136,203894655.4394306
2021-09-23,HPG,5400,29238.6313318046,157888609.19174483
2021-09-23,HSG,4700,35605.4719775901,167345718.29467347
